x: -94, y: -221
x: 138.037700684058, y: -127.4724756046146
x: 139.99827929903768, y: -127.07734082446444
x: 141.95885791401736, y: -126.68220604431423
x: 143.91943652899704, y: -126.28707126416401
x: 145.88001514397672, y: -125.8919364840138
x: 147.8405937589564, y: -125.49680170386358
x: 149.80117237393608, y: -125.10166692371342
x: 151.76175098891576, y: -124.70653214356321
x: 153.72232960389545, y: -124.311397363413
x: 155.68290821887513, y: -123.91626258326278
x: 157.6434868338548, y: -123.52112780311256
x: 159.6040654488345, y: -123.12599302296235
x: 161.56464406381417, y: -122.73085824281219
x: 163.52522267879385, y: -122.33572346266197
x: 165.48580129377353, y: -121.94058868251176
x: 167.44637990875322, y: -121.54545390236154
x: 169.4069585237329, y: -121.15031912221133
x: 171.36753713871258, y: -120.75518434206117
x: 173.32811575369226, y: -120.36004956191096
x: 175.28869436867194, y: -119.96491478176074
x: 177.24927298365162, y: -119.56978000161052
x: 179.2098515986313, y: -119.17464522146031
x: 181.17043021361098, y: -118.77951044131015
x: 183.13100882859067, y: -118.38437566115994
x: 185.09158744357035, y: -117.98924088100972
x: 187.05216605855003, y: -117.5941061008595
x: 189.0127446735297, y: -117.19897132070929
x: 190.92133896976827, y: -116.60125248014509
x: 192.82993326600695, y: -116.0035336395809
x: 194.7385275622455, y: -115.4058147990167
x: 196.64712185848418, y: -114.8080959584525
x: 198.55571615472275, y: -114.2103771178883
x: 200.46431045096142, y: -113.61265827732404
